,product_name,qty,location,payment_mode,price,Time
627,Belkin F3Y020BF2M HDMI-HDMI Cable,1,636455,Credit Card,699.0,year-2021_month-06
628,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Blue, Smartphone",1,678001,Credit Card,4599.0,year-2021_month-06
629,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Green, Smartphone",1,678001,Credit Card,4599.0,year-2021_month-06
630,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Green, Smartphone",1,678001,Credit Card,4599.0,year-2021_month-06
631,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Blue, Smartphone",1,678001,Credit Card,4599.0,year-2021_month-06
632,"OnePlus Nord CE 5G 128 GB, 8 GB RAM, Charcoal Ink, Smartphone",1,821115,Credit Card,24999.0,year-2021_month-06
633,"Sharp PS-920 150W High Power Portable Party Speaker with Bluetooth built-in rechargeable battery, Disco light & Bluetooth",1,380013,Credit Card,7040.0,year-2021_month-06
634,"Oppo A15 32 GB, 3 GB RAM, Dynamic Black, Smartphone",1,394130,Credit Card,9059.84,year-2021_month-06
635,"OPPO A15s 64 GB, 4 GB RAM, Dynamic Black, Smartphone",1,394130,Credit Card,10420.16,year-2021_month-06
636,"boAt Airdopes 443 Wireless Earbuds, Black",1,500029,COD,2199.0,year-2021_month-06
637,Canon Pixma MG2570S Colour Multi Function Inkjet Printer,1,502205,DEBIT_CARD,2899.0,year-2021_month-06
638,HP Laptop Bag (Medium),1,841414,Credit Card,1038.84,year-2021_month-06
639,"HP 14s-DQ2101TU Laptop (11th Gen Intel Core i3-1115G4/8GB/256GB PCIe-SSD/Intel UHD Graphics/Windows 10/MSO/HD), 35.6 cm (14 inch)",1,841414,Credit Card,34960.16,year-2021_month-06
640,Havells BT5113C cordless trimmer - 2 hours run time/ 2 hours fast charge ,1,201307,CREDIT_CARD,1399.0,year-2021_month-06
641,"Redmi Note 10 Pro 128 GB, 6 GB RAM, Glacial Blue, Smartphone",1,335704,Credit Card,17499.0,year-2021_month-06
642,"Oppo F19 Pro 128 GB, 8 GB, Crystal Silver, Smartphone",1,517501,Credit Card,21490.0,year-2021_month-06
643,"6 Month: resQ Care Plan(RCP) Extended Warranty for Smart phones, 6 months",1,517501,Credit Card,1149.0,year-2021_month-06
644,"Oppo A15 32 GB, 3 GB RAM, Dynamic Black, Smartphone",1,394130,Credit Card,9059.84,year-2021_month-06
645,"OPPO A15s 64 GB, 4 GB RAM, Dynamic Black, Smartphone",1,394130,Credit Card,10420.16,year-2021_month-06
646,"A. O. Smith 3 litres Instant Water Heater with Blue Diamond Glass Lined Tank, MiniBot SZS-3 (3 KW), White",1,560043,CREDIT_CARD,3850.0,year-2021_month-06
647, resQ Installation Service,1,560043,CREDIT_CARD,300.0,year-2021_month-06
648,"Realme 8 5G 128 GB, 4 GB RAM, Supersonic Blue, Smartphone",1,500007,Credit Card,13999.0,year-2021_month-06
649,"Realme 8 5G 128 GB, 4 GB RAM, Supersonic Black, Smartphone",1,500007,Credit Card,13999.0,year-2021_month-06
650,Canon Pixma MG2570S Colour Multi Function Inkjet Printer,1,502205,Credit Card,2899.0,year-2021_month-06
651,"Oppo A53s 5G 128 GB, 8 GB RAM, Ink Black, Smart Phone",1,201301,Credit Card,16990.0,year-2021_month-06
652,"boAt Airdopes 283 Wireless Earbuds, Black",1,201301,Credit Card,1899.0,year-2021_month-06
653,"Bose S1 Pro Wireless Bluetooth Speaker with Mic, Black",1,411025,Credit Card,60625.0,year-2021_month-06
654,Samsung 1.5 Ton 5 Star 5-in-1 Convertible AR18AY5YATZ Inverter Split AC,1,690518,Credit Card,39558.28,year-2021_month-06
655,Canon Pixma MG2570S Colour Multi Function Inkjet Printer,1,502205,Credit Card,2899.0,year-2021_month-06
656,Panasonic EH-ND11 Hair Dryer,1,560043,Credit Card,649.0,year-2021_month-06
657,"Amazon Fire TV Stick 3rd Gen (2020) Includes Alexa Voice Remote, HD Streaming Devixe",1,400022,UPI,2699.0,year-2021_month-06
658,"Sony MDR-XB55AP Wired Earphone, Black",1,600088,Credit Card,2099.0,year-2021_month-06
659,"Sony MDR-XB55AP Wired Earphone, Black",1,600088,COD,2099.0,year-2021_month-06
660,"AZE 9 Kg Top Loading Semi-Automatic Washing Machine with Active Soak Function, 90SW01",1,522503,Credit Card,7823.33,year-2021_month-06
